run_id,start_time,tags.data_version,tags.model_type,tags.kpi_status,metrics.test_rmse,metrics.test_mae,metrics.test_r2,metrics.cv_rmse_mean,metrics.cv_rmse_std
fa21b2a769e1,2026-02-22 21:03:26.207000+00:00,v2,gradient_boosting,PASS,1.7146945219514993,1.3539792761877378,0.9083703128335981,1.9367797991381543,0.39137962149773137
e753c77b8478,2026-02-22 21:03:28.203000+00:00,v2,gradient_boosting,PASS,1.7529476857156143,1.3614710740252853,0.9042363713650833,1.9680746008182461,0.3907376674989631
9f534c7ca97f,2026-02-22 21:03:28.749000+00:00,v2,gradient_boosting,PASS,1.774891362429165,1.3778914803252122,0.9018237962584538,1.9588099769345024,0.3643457997444798
ba1f99c8e394,2026-02-22 21:03:29.291000+00:00,v2,gradient_boosting,PASS,1.7233496521885623,1.3454050836506366,0.9074429541503618,1.9662419085228267,0.3696642366623883
9ed1c853bf62,2026-02-22 21:03:29.835000+00:00,v2,gradient_boosting,PASS,1.9232668692810375,1.487994259589553,0.8847232340875523,2.0506932028101077,0.4454930025649946
05e1dd2435ad,2026-02-22 21:03:30.391000+00:00,v2,gradient_boosting,PASS,1.88937967239938,1.456259463046204,0.8887497078552182,2.0567439537616274,0.43912242871519264
5163465aa378,2026-02-22 21:03:30.933000+00:00,v2,gradient_boosting,PASS,1.8797143736455044,1.4444423718283195,0.8898850191008753,2.0137876952970433,0.4152209371281803
7409238484cc,2026-02-22 21:03:31.485000+00:00,v2,gradient_boosting,PASS,1.812237848446163,1.4182292397195924,0.8976487677213643,2.033386234364213,0.4724570995405976
1194ec3caa41,2026-02-22 21:03:32.308000+00:00,v2,gradient_boosting,PASS,1.8076658260549636,1.4242451104161749,0.8981645519351128,2.0217266304071764,0.4418947221401294
f60758eb2f4f,2026-02-22 21:03:33.147000+00:00,v2,gradient_boosting,PASS,1.795919486705499,1.4173052611828447,0.8994837197129182,2.021907599159155,0.4484988162030864
e52415da7104,2026-02-22 21:03:33.966000+00:00,v2,gradient_boosting,PASS,1.8140909733270862,1.435374542097583,0.8974393398146174,2.0650312759818976,0.48380654759788677
5cd8040fadfa,2026-02-22 21:03:34.806000+00:00,v2,gradient_boosting,PASS,1.858822799761332,1.4854226912471207,0.8923191030108136,2.0563511341764764,0.4928024971376726
966f700599b7,2026-02-22 21:03:35.649000+00:00,v2,gradient_boosting,PASS,1.9214533557114188,1.5209574047324543,0.8849405283378661,1.9978265735450496,0.4269742748755891
e4fb65b2a379,2026-02-22 21:03:36.485000+00:00,v2,gradient_boosting,PASS,1.908844736242987,1.4666294580449848,0.8864456194633261,2.088205072989053,0.4087958622559291
7c38258992e1,2026-02-22 21:03:37.324000+00:00,v2,gradient_boosting,PASS,1.8961639625018087,1.4787702724732734,0.887949329472973,2.188481652748783,0.5330006593854154
5b2a31aa90e4,2026-02-22 21:03:38.178000+00:00,v2,gradient_boosting,PASS,1.9357383353144895,1.5221004192234069,0.8832233573978423,2.1172074844921314,0.43262466715742914
e38889a0baf9,2026-02-22 21:03:39.027000+00:00,v2,gradient_boosting,PASS,1.8555408845156625,1.4662051396909692,0.8926990075380373,2.1215626085333343,0.5149174611033047
ef6f9f701610,2026-02-22 21:03:40.083000+00:00,v2,gradient_boosting,PASS,1.8714491302428429,1.455086475862485,0.89085125757194,2.119226408914409,0.5078206987738635
99c12b91d170,2026-02-22 21:03:41.134000+00:00,v2,gradient_boosting,PASS,1.8789471963897548,1.4634840509033546,0.8899748843175186,2.071618972281169,0.44386523176989423
5e5b1c4c9c22,2026-02-22 21:03:42.185000+00:00,v2,gradient_boosting,PASS,1.8896848900858794,1.4865530417231965,0.8887137613486026,2.1383893753659233,0.5480543350247457
548bba2e2d71,2026-02-22 21:03:43.297000+00:00,v2,gradient_boosting,PASS,1.8735503401932516,1.4766759188335554,0.8906060217590506,2.051945397847715,0.4718301453272007
e3501fd7ce67,2026-02-22 21:03:44.390000+00:00,v2,gradient_boosting,PASS,1.9088287352132272,1.4956262860718676,0.8864475232110457,2.0475537620539446,0.4085324954431223
0831c53ce7b2,2026-02-22 21:03:45.469000+00:00,v2,gradient_boosting,PASS,1.961682027348962,1.5160263898982398,0.8800721882678268,2.191313195145233,0.4983508757814315
b845010b9828,2026-02-22 21:03:46.584000+00:00,v2,gradient_boosting,PASS,1.9922281568689577,1.5654774491397425,0.8763082224413684,2.131874255761827,0.3874827592993245
91b3d143001d,2026-02-22 21:03:47.692000+00:00,v2,gradient_boosting,PASS,1.9720499051501958,1.5321277263992734,0.8788011538402444,2.1115157719968853,0.3902322027474204
9ecb9d5f9da6,2026-02-22 21:03:48.795000+00:00,v2,gradient_boosting,PASS,1.7930249169490131,1.403094510321863,0.8998074724389616,1.9414581803273556,0.40297712214589615
cba2eb009dba,2026-02-22 21:03:49.876000+00:00,v2,gradient_boosting,PASS,1.7763797019007885,1.3897445514115705,0.901659075434705,1.9451082961306776,0.3972696229377427
d23db1eb47d6,2026-02-22 21:03:50.961000+00:00,v2,gradient_boosting,PASS,1.7961945238033947,1.4050798574301067,0.8994529301111185,1.9400127617503564,0.40129349838701084
f74a78f0c828,2026-02-22 21:03:52.076000+00:00,v2,gradient_boosting,PASS,1.7884320706322183,1.394175003173929,0.9003201028144495,1.9988678640889521,0.41483012271600456
fdae3c8fb53b,2026-02-22 21:03:53.181000+00:00,v2,gradient_boosting,PASS,1.8061809258942536,1.4070468631122095,0.8983317878958016,2.0010649551678243,0.4018305962805075
7f8838c4f50f,2026-02-22 21:03:54.268000+00:00,v2,gradient_boosting,PASS,1.7613299343719546,1.3889165066838711,0.9033183362577027,1.999904871397903,0.396198563175667
fe28f662f7a8,2026-02-22 21:03:55.364000+00:00,v2,gradient_boosting,PASS,2.022325644438187,1.555221750339603,0.8725426569152244,2.095909707647143,0.4383704235156447
